SequenceID	Type
b000017620	ruminant
b000017944	ruminant
b000018235	ruminant
b000011654	ruminant
b000022174	ruminant
b000025964	ruminant
b000022167	ruminant
b000011347	ruminant
b000028324	ruminant
b000019941	ruminant
b000017891	ruminant
b000002880	ruminant
b000020028	ruminant
b000023652	ruminant
b000019954	ruminant
b000028323	ruminant
b000015147	ruminant
b000022443	ruminant
b000028630	herbivore
b000028468	herbivore
b000028315	herbivore
b000028253	herbivore
b000028493	herbivore
b000028274	herbivore
b000028079	herbivore
b000024563	herbivore
b000024063	herbivore
b000017140	herbivore
b000016590	herbivore
b000017171	herbivore
b000028543	herbivore
b000022069	herbivore
b000025004	herbivore
b000026095	herbivore
b000015608	herbivore
b000024463	herbivore
b000006062	herbivore
b000026735	herbivore
b000022872	herbivore
b000000041	herbivore
b000025367	herbivore
b000025789	herbivore
b000012666	herbivore
b000018338	herbivore
b000001540	herbivore
b000023676	herbivore
b000015274	herbivore
b000017141	herbivore
b000026045	herbivore
b000023976	herbivore
b000017311	herbivore
b000020049	herbivore
b000017620	herbivore
b000018235	herbivore
b000017891	herbivore
b000002880	herbivore
b000022443	herbivore
