SequenceID	Type
c000030298	ruminant
c000032047	ruminant
c000025642	ruminant
c000034358	ruminant
c000029725	ruminant
c000032543	ruminant
c000032738	ruminant
c000012229	ruminant
c000002097	ruminant
c000029922	ruminant
c000032844	ruminant
c000032611	ruminant
c000030455	ruminant
c000033079	ruminant
c000025936	ruminant
c000002107	ruminant
c000030224	ruminant
c000012232	ruminant
c000033116	ruminant
c000002770	ruminant
c000016566	ruminant
c000028296	ruminant
c000026136	ruminant
c000034328	ruminant
c000029675	ruminant
c000032527	ruminant
c000034326	ruminant
c000034298	ruminant
c000023187	ruminant
c000026910	ruminant
c000034532	ruminant
c000030204	ruminant
c000033985	herbivore
c000034563	herbivore
c000034526	herbivore
c000034373	herbivore
c000032638	herbivore
c000032873	herbivore
c000032816	herbivore
c000033089	herbivore
c000032673	herbivore
c000008677	herbivore
c000031470	herbivore
c000017543	herbivore
c000026805	herbivore
c000026654	herbivore
c000033901	herbivore
c000029707	herbivore
c000033532	herbivore
c000032664	herbivore
c000025621	herbivore
c000012222	herbivore
c000030514	herbivore
c000031522	herbivore
c000026862	herbivore
c000022841	herbivore
c000034319	herbivore
c000017566	herbivore
c000031667	herbivore
c000004548	herbivore
c000025948	herbivore
c000033873	herbivore
c000030298	herbivore
c000007787	herbivore
c000026999	herbivore
c000030061	herbivore
c000033749	herbivore
c000026043	herbivore
c000033116	herbivore
c000000323	herbivore
c000031064	herbivore
c000034328	herbivore
c000030557	herbivore
c000022925	herbivore
c000029567	herbivore
c000002111	herbivore
c000021853	herbivore
c000031825	herbivore
c000034027	herbivore
c000034532	herbivore
c000034377	herbivore
