SequenceID	Type
c000031666	pig
c000051899	pig
c000043741	pig
c000018335	pig
c000039710	pig
c000018250	pig
c000045864	pig
c000047674	pig
c000047828	pig
c000051058	pig
c000000108	pig
c000052044	pig
c000044414	pig
c000002933	pig
c000044484	pig
c000024942	pig
c000025454	pig
c000014975	pig
c000036579	pig
c000036972	pig
c000024091	pig
c000023502	pig
c000049166	pig
c000049358	pig
c000045387	pig
c000039585	pig
c000046586	sewage
c000046690	sewage
c000001005	sewage
c000037075	sewage
c000046839	sewage
c000046587	sewage
c000042283	sewage
c000046198	sewage
c000017808	sewage
c000023148	sewage
c000045932	sewage
c000045892	sewage
c000039672	sewage
c000013774	sewage
c000025262	sewage
c000047184	sewage
c000017814	sewage
c000030703	sewage
c000000997	sewage
c000033835	sewage
c000024026	sewage
c000050006	sewage
c000046738	sewage
c000045889	sewage
c000047185	sewage
c000016509	sewage
c000048772	sewage
c000031860	sewage
c000046838	sewage
c000017812	sewage
c000046591	sewage
c000052650	sewage
c000033570	sewage
c000039668	sewage
c000030706	sewage
c000053231	sewage
c000051838	sewage
c000046161	sewage
c000007006	sewage
c000029208	sewage
c000006995	sewage
c000049895	sewage
c000045869	sewage
c000010878	sewage
c000053226	sewage
c000047542	sewage
c000053334	sewage
c000046197	sewage
c000038571	sewage
c000022900	sewage
c000047240	sewage
c000035642	sewage
c000053227	sewage
c000047839	sewage
c000025962	sewage
c000017807	sewage
c000030674	sewage
c000050383	sewage
c000032428	sewage
c000043302	sewage
c000046648	sewage
c000032430	sewage
c000053235	sewage
c000017809	sewage
c000025964	sewage
c000045955	sewage
c000043247	sewage
c000051778	sewage
c000046589	sewage
c000052987	sewage
c000046813	sewage
c000017815	sewage
c000046595	sewage
c000051776	sewage
c000047549	sewage
c000006996	sewage
c000053385	sewage
c000044214	sewage
c000050212	sewage
c000034519	sewage
c000034364	sewage
c000012571	sewage
c000045754	sewage
c000042683	sewage
c000036877	sewage
c000014661	sewage
c000011336	sewage
c000050306	sewage
c000043245	sewage
c000035147	sewage
