SequenceID	Type
b000000324	sewage
b000008824	sewage
b000007005	sewage
b000004085	sewage
b000019891	sewage
b000015996	sewage
b000012484	sewage
b000000321	sewage
b000020224	sewage
b000018704	sewage
b000018759	sewage
b000015995	sewage
b000010942	sewage
b000008762	sewage
b000011029	sewage
b000010221	sewage
b000000655	sewage
b000015967	sewage
b000004087	sewage
b000020079	sewage
b000012377	sewage
b000014947	sewage
b000004082	sewage
b000000143	sewage
b000016781	sewage
b000006772	sewage
b000000322	sewage
b000015938	sewage
b000011304	sewage
b000004069	sewage
b000001282	sewage
b000004074	sewage
b000006763	sewage
b000004096	sewage
b000004479	sewage
b000007359	sewage
b000020528	sewage
b000017180	sewage
b000007375	sewage
b000020661	sewage
b000016717	sewage
b000005600	sewage
b000012541	sewage
b000007756	sewage
b000011306	sewage
b000019892	sewage
b000013121	sewage
b000000782	sewage
b000020222	sewage
b000007016	sewage
b000015759	sewage
b000007531	sewage
b000010217	sewage
b000016372	sewage
b000004230	sewage
b000013432	sewage
b000016200	sewage
b000019884	sewage
b000015853	sewage
b000008492	sewage
b000020785	sewage
b000000661	sewage
b000007372	sewage
b000004244	sewage
b000014614	sewage
b000017117	sewage
b000012378	sewage
b000011037	sewage
b000004084	sewage
b000001488	sewage
b000011546	sewage
b000020527	sewage
b000010321	sewage
b000014659	sewage
b000016375	sewage
b000020106	sewage
b000004790	sewage
b000008772	sewage
