samples	Animal	b000009490	b000000008	b000000028	b000013303	b000000002	b000006159	b000008198	b000008191	b000008190	b000009655	b000004244	b000014938	b000008870	b000010308	b000003118	b000003550	b000000079	b000000259	b000003985	b000012209	b000001973	b000007425	b000002953	b000011975	b000009656	b000008392	b000001390	b000001393	b000016385	b000015039	b000012942	b000008060	b000007702	b000011901	b000012289	b000008892	b000008683	b000014417	b000017078	b000015518	b000009864	b000002818	b000014358	b000002463	b000000117	b000007866	b000013305	b000012726	b000006158	b000000270	b000008197	b000002951	b000014628	b000001896	b000014300	b000007696	b000013473	b000011914	b000015748	b000001808	b000008405	b000015411	b000001242	b000006367	b000000604	b000008207	b000003904	b000012850	b000005560	b000004509	b000000271	b000001972	b000000516	b000007426	b000014550	b000008680	b000002950	b000000199	b000013114	b000011915	b000010870	b000007697	b000014166	b000001395	b000013347	b000015744	b000016336	b000012958	b000011935	b000001820	b000012126	b000002638	b000002296	b000014578	b000001063	b000003698	b000016610	b000000274	b000014259	b000014492	b000012851	b000003907	b000000176	b000013351	b000014357	b000012288	b000013909	b000016557	b000001067	b000005176	b000010200	b000000454	b000016676	b000012606	b000014941	b000012959	b000009498	b000012443	b000002961	b000013029	b000011733	b000013870	b000014207	b000013346	b000015476	b000002295	b000017083	b000003120	b000015519	b000015671	b000012803	b000002642	b000011847	b000012166	b000015666	b000014627	b000007859	b000005179	b000009880	b000009865	b000003901	b000002213	b000014360	b000013062	b000016339	b000000999	b000000813	b000015521	b000005826	b000012439	b000015042	b000006366	b000010937	b000004806	b000015245	b000007875	b000006560	b000013471	b000000810	b000012941	b000014577	b000000514	b000012444	b000005627	b000016158	b000016793	b000000808	b000012960	b000016312	b000016782	b000000809	b000012447	b000006573	b000014953	b000012773	b000000067	b000014952	b000016521	b000004801	b000003129	b000007570	b000014491	b000013352	b000016717	b000012214	b000005344	b000002644	b000012484	b000016718	b000012415	b000016480	b000001245	b000002823	b000012646	b000004950	b000013802	b000006561	b000000145	b000001809	b000011379	b000016507	b000016568	b000016297	b000012729	b000015929	b000003899	b000015205	b000014257	b000003908	b000013852	b000014099	b000014415	b000000621	b000008206	b000015208	b000010531	b000012648	b000010528	b000016764	b000003906	b000003132	b000011620	b000015520	b000016994	b000015733	b000003124	b000007878	b000007441	b000010730	b000001062	b000013472	b000011701	b000016269	b000013766	b000013388	b000014821	b000010939	b000003246	b000016937	b000000135	b000012138	b000010198	b000013147	b000006923	b000012485	b000004596	b000012141	b000012645	b000014174	b000013201	b000015928	b000007872	b000010871	b000003998	b000013728	b000003557	b000010533	b000010628	b000013558	b000015129	b000001084	b000001434	b000003702	b000003560	b000008898	b000015285	b000001061	b000006845	b000006508	b000016454	b000011029	b000009867	b000000812	b000000162	b000015526	b000016911	b000013680	b000015893	b000016854	b000014783	b000013154	b000013307	b000006456	b000008222	b000001659	b000003827	b000000139	b000011789	b000001403	b000003986	b000011054	b000009678	b000012261	b000003039	b000002657	b000005721	b000016834	b000014210	b000005836	b000012408	b000006846	b000016922	b000011178	b000016481	b000015044	b000016569	b000016726	b000003821	b000011328	b000012487	b000014785	b000016952	b000016396	b000016085	b000012526	b000000197	b000016002	b000016195	b000013139	b000004127	b000003117	b000014167	b000015621	b000000141	b000016898	b000016301	b000010202	b000000455	b000005832	b000014553	b000010940	b000004965	b000005904	b000012515	b000011192	b000014891	b000014943	b000013872	b000016698	b000001409	b000002128	b000001068	b000000906	b000001408	b000013159	b000015340	b000000158	b000002955	b000016880	b000001655	b000011439	b000006844	b000002294	b000011902	b000016575	b000009770	b000013252	b000012519	b000008590	b000016784	b000013871	b000015406	b000005184	b000004383	b000012516	b000004719	b000013645	b000009331	b000006172	b000009075	b000015247	b000011792	b000011734	b000008397	b000005907	b000008468	b000016051	b000002575	b000008797	b000016675	b000007883	b000000916	b000014003	b000010490	b000009228	b000014373	b000001073	b000016844	b000012416	b000015407	b000012922	b000001398	b000012732	b000017089	b000014954	b000016693	b000016766	b000011353	b000009773	b000016342	b000016754	b000012407	b000014002	b000011041	b000016772	b000000260	b000013474	b000001909	b000003905	b000005715	b000004954	b000016856	b000015924	b000017055	b000007345	b000013422	b000016386	b000016653	b000013232	b000016835	b000014056	b000016995	b000003248	b000016848	b000007443	b000009403	b000002375	b000013138	b000013199	b000011006	b000013768	b000016810	b000011936	b000002846	b000011790	b000017030	b000004810	b000011513	b000016997	b000012541	b000012414	b000008410	b000007334	b000013253	b000006086	b000016606	b000016770	b000016980	b000016801	b000011555	b000016298	b000006009	b000016817	b000011507	b000009670	b000016010	b000000696	b000011188	b000017073	b000013385	b000000111	b000003417	b000011853	b000013483	b000012440	b000014893	b000011788	b000014737	b000011556	b000017094	b000016662	b000013892	b000003900	b000016631	b000016847	b000012947	b000013727	b000017015	b000004511	b000011470	b000010527	b000009408	b000012120	b000017086	b000005177	b000012215	b000016727	b000016304	b000013112	b000016825	b000012805	b000013278	b000015165	b000007016	b000002462	b000010536	b000013148	b000001007	b000011038	b000014303	b000013593	b000014549	b000004717	b000016438	b000004600	b000014040	b000016611	b000016907	b000016818	b000011480	b000017053	b000011703	b000016946	b000016255	b000014792	b000014307	b000002850	b000015344	b000000194	b000014494	b000000575	b000002299	b000015007	b000016961	b000012956	b000014173	b000016679	b000015822	b000016091	b000012527	b000017080	b000000619	b000016966	b000017048	b000000047	b000016723	b000004119	b000000160	b000016787	b000000198	b000005999	b000017013	b000002136	b000017077	b000013063	b000017004	b000002967	b000012142	b000016752	b000016659	b000016739	b000017005	b000008901	b000000213	b000000766	b000012125	b000012139	b000003325	b000005835	b000015754	b000016887	b000005912	b000015320	b000002373	b000016664	b000002214	b000009492	b000016774	b000014147	b000016334	b000016878	b000016780	b000013518	b000012730	b000000694	b000016508	b000014957	b000006925	b000004887	b000016337	b000016677	b000016979	b000014822	b000006458	b000016576	b000015126	b000005347	b000006169	b000012392	b000012374	b000009517	b000016668	b000000277	b000011848	b000007738	b000013991	b000011284	b000009328	b000015169	b000004591	b000008430	b000003048	b000000292	b000009415	b000015093	b000016841	b000017003	b000016802	b000014710	b000014791	b000016672	b000011537	b000009674	b000000272	b000016865	b000016945	b000012448	b000008599	b000014874	b000016458	b000016388	b000013732	b000009505	b000014862	b000015414	b000000395	b000016845	b000005726	b000016140	b000010039	b000015678	b000006704	b000016991	b000000126	b000004885	b000017021	b000008793	b000013947	b000008696	b000016729	b000016706	b000016830	b000015168	b000003251	b000014552	b000006920	b000000026	b000016929	b000000095	b000013311	b000001581	b000010624	b000011440	b000016245	b000013912	b000013594	b000008794	b000004722	b000014098	b000016855	b000011438	b000016725	b000013396	b000004510	b000007199	b000001081	b000000115	b000015009	b000010077	b000013448	b000016244	b000016750	b000016721	b000007017	b000017088	b000016814	b000000257	b000000081	b000003570	b000004946	b000014310	b000015182	b000014305	b000016669	b000015282	b000009079	b000002952	b000016884	b000016719	b000011280	b000011471	b000016836	b000013948	b000016224	b000011279	b000016700	b000011577	b000003331	b000016765	b000013310	b000015673	b000011766	b000016741	b000000178	b000013066	b000009329	b000016955	b000015623	b000000305	b000008236	b000013684	b000004811	b000006697	b000008217	b000009507	b000013853	b000013031	b000015977	b000016895	b000016314	b000011506	b000016511	b000016666	b000009170	b000015183	b000014145	b000014592	b000016985	b000016143	b000016663	b000014146	b000016986	b000016874	b000016761	b000017000	b000014215	b000010323	b000016903	b000001417	b000008202	b000015376	b000016558	b000016890	b000008799	b000016783	b000007876	b000014148	b000013808	b000011955	b000016455	b000013516	b000015433	b000016891	b000014763	b000013627	b000011903	b000014709	b000000191	b000010042	b000016670	b000017090	b000017096	b000016763	b000017076	b000017017	b000011597	b000016850	b000016933	b000016867	b000016852	b000011483	b000016678	b000017034	b000017007	b000016812	b000016827	b000016866	b000016335	b000016957	b000011031	b000016918	b000016953	b000017066	b000016902	b000017095	b000016733	b000016433	b000013384	b000016838	b000008229	b000016823	b000001588	b000011575	b000016681	b000013893	b000013950	b000016826	b000016901	b000017014	b000016119	b000000911	b000001429	b000003418	b000011040	b000005631	b000012572	b000013679	b000016858	b000016343	b000012689	b000016913	b000011005	b000013713	b000008425	b000016868	b000017052	b000012776	b000004805	b000016983	b000016491	b000011992	b000012545	b000012087	b000003565	b000002368	b000017050	b000017072	b000016999	b000013714	b000001069	b000015439	b000014619	b000015096	b000017063	b000002217	b000005767	b000014865	b000016910	b000016965	b000011794	b000005910	b000013280	b000007195	b000005997	b000016809	b000008409	b000012111	b000002367	b000014872	b000001064	b000000572	b000015734	b000015319	b000000201	b000008062	b000016828	b000016959	b000000402	b000000279	b000000207	b000015686	b000016962	b000006459	b000004593	b000000082	b000014739	b000016871	b000012806	b000013308	b000017075	b000016792	b000011514	b000016862	b000010312	b000001825	b000016686	b000016904	b000016924	b000000807	b000000573	b000011761	b000013160	b000016990	b000014058	b000016505	b000005905	b000016696	b000016724	b000016791	b000012230	b000010649	b000007261	b000007237	b000016843	b000016665	b000015578	b000017032	b000016054	b000013681	b000017044	b000016749	b000017012	b000016976	b000016879	b000016949	b000010742	b000016950	b000011600	b000009657	b000015580	b000013649	b000016691	b000010635	b000013663	b000016652	b000016813	b000016661	b000000136	b000017060	b000016905	b000016710	b000012375	b000016797	b000009497	b000017084	b000016779	b000016737	b000016778	b000015321	b000016928	b000001425	b000000912	b000016699	b000017047	b000013623	b000003712	b000016941	b000011072	b000016001	b000009338	b000011312	b000016967	b000016869	b000004579	b000016120	b000016888	b000013431	b000003327	b000017028	b000012599	b000016708	b000011554	b000012693	b000004962	b000001099	b000016683	b000012608	b000009067	b000016795	b000016009	b000014593	b000011484	b000010141	b000005918	b000017059	b000000452	b000000515	b000000765	b000001410	b000017025	b000005278	b000016839	b000016523	b000016702	b000016883	b000016908	b000016687	b000004840	b000016977	b000013911	b000016892	b000016786	b000007574	b000000166	b000013034	b000016769	b000013683	b000017001	b000013353	b000016988	b000017035	b000010494	b000016270	b000014111	b000016697	b000012291	b000016914	b000007901	b000016674	b000017036	b000016788	b000016954	b000016811	b000010036	b000013433	b000015746	b000016822	b000013482	b000010492	b000006327	b000011327	b000015978	b000016660	b000004520	b000016885	b000008414	b000001431	b000017061	b000017016	b000016942	b000013137	b000012808	b000002956	b000014581	b000016716	b000012262	b000008454	b000000613	b000016872	b000014762	b000012449	b000016998	b000001003	b000015098	b000013423	b000006197	b000016790	b000013235	b000000698	b000014171	b000016632	b000009969	b000013151	b000016680	b000011721	b000017020	b000014642	b000000457	b000015477	b000016757	b000016800	b000003693	b000016916	b000016996	b000016831	b000016982	b000016993	b000016917	b000017029	b000009509	b000016909	b000016496	b000012265	b000008936	b000006373	b000017033	b000016938	b000017051	b000014108	b000016295	b000001992	b000011976	b000014899	b000016870	b000017054	b000015820	b000007190	b000006470	b000017006	b000016886	b000016703	b000007521	b000015848	b000016305	b000016704	b000016226	b000017062	b000015250	b000016877	b000016804	b000017071	b000010805	b000017002	b000013452	b000016821	b000000058	b000004821	b000013560	b000016951	b000016713	b000002222	b000016685	b000016751	b000016978	b000015416	b000016873	b000014660	b000000222	b000016882	b000016762	b000016857	b000016842	b000016968	b000013990	b000006319	b000017037	b000001443	b000014041	b000016490	b000008886	b000017085	b000016758	b000008418	b000016989	b000005668	b000016198	b000011722	b000016840	b000016926	b000005567	b000010327	b000016512	b000015120	b000016759	b000013432	b000016987	b000011688	b000015854	b000017027	b000012600	b000004624	b000017018	b000015378	b000012517	b000011539	b000016776	b000009499	b000014399	b000009172	b000016860	b000016899	b000005917	b000017064	b000011538	b000010142	b000003394	b000017026	b000014782	b000004813	b000001016	b000013973	b000012296	b000003903	b000016824	b000011283	b000005095	b000001579	b000016731	b000012167	b000016833	b000015688	b000013304	b000009695	b000013665	b000008256	b000016746	b000013972	b000005445	b000009660	b000004259	b000000220	b000017058	b000008399	b000016971	b000016893	b000016692	b000017056	b000006168	b000012923	b000007033	b000016936	b000016695	b000014055	b000003137	b000000686	b000016087	b000001834	b000008240	b000016816	b000005992	b000004010	b000005279	b000017040	b000016912	b000001078	b000014645	b000016707	b000011001	b000007571	b000016722	b000016748	b000001424	b000008403	b000002776	b000016960	b000014589	b000003136	b000016434	b000012268	b000016742	b000016815	b000000107	b000016970	b000016837	b000010950	b000011958	b000011793	b000016923	b000017100	b000016689	b000003717	b000014741	b000016767	b000005669	b000016730	b000009567	b000016944	b000013231	b000013517	b000017057	b000015379	b000016921	b000016832	b000011918	b000004614	b000016711	b000015679	b000015246	b000014122	b000007522	b000017097	b000017043	b000017023	b000016925	b000007432	b000014881	b000011510	b000016785	b000016964	b000011689	b000009977	b000012566	b000016920	b000017093	b000001843	b000016829	b000014895	b000016720	b000001065	b000006509	b000016940	b000016296	b000000152	b000015092	b000012607	b000001420	b000017082	b000017067	b000014121	b000009519	b000012573	b000010083	b000000451	b000008688	b000017010	b000016756	b000016671	b000015122	b000016981	b000016735	b000006001	b000001684	b000016992	b000016956	b000016781	b000001698	b000016894	b000001005	b000016943	b000016775	b000017011	b000016744	b000016504	b000008929	b000016728	b000017038	b000001072	b000010075	b000004110	b000004242	b000003916	b000014670	b000016805	b000013477	b000013122	b000017092	b000017049	b000016939	b000016897	b000016849	b000016256	b000016876	b000016709	b000000140	b000016390	b000016139	b000012567	b000016688	b000016919	b000017099	b000015579	b000016777	b000013071	b000009493	b000012921	b000016740	b000005781	b000007856	b000000913	b000016690	b000016440	b000016712	b000017031	b000017101	b000017069	b000015318	b000016906	b000016789	b000000290	b000016889	b000013116	b000016973	b000016875	b000014372	b000006177	b000016302	b000016948	b000016607	b000005929	b000003413	b000016803	b000002779	b000017008	b000003122	b000017045	b000008251	b000012364	b000016927	b000016807	b000015221	b000016796	b000017074	b000013354	b000016896	b000012113	b000008889	b000016753	b000016499	b000016738	b000014882	b000014260	b000017087	b000004123	b000005355	b000002585	b000007337	b000015434	b000016972	b000016808	b000002143	b000016743	b000017039	b000006084	b000016958	b000016799	b000016747	b000000518	b000016773	b000010208	b000009169	b000008419	b000016701	b000016755	b000012391	b000010342	b000016851	b000005343	b000016864	b000004265	b000012518	b000002650	b000001466	b000005092	b000016932	b000016930	b000017070	b000012121	b000016667	b000004257	b000005446	b000016794	b000013236	b000011420	b000017081	b000014143	b000000814	b000016819	b000003695	b000006515	b000017068	b000016853	b000016806	b000017041	b000017024	b000016984	b000015669	b000016768	b000016736	b000016934	b000016684	b000016169	b000010034	b000016694	b000016714	b000016947	b000014596	b000009890	b000016863	b000016673	b000014620	b000006170	b000004241	b000008795	b000003586	b000016146	b000012232	b000010491	b000001900	b000017065	b000011308	b000003252	b000017079	b000016975	b000016859	b000016732	b000017009	b000016881	b000006929	b000017046	b000016861	b000016734	b000017091	b000017022	b000017019	b000016963	b000012363	b000007342	b000016760	b000012083	b000016771	b000016969	b000009686	b000016798	b000016974	b000016931	b000016705	b000015894	b000017042	b000016682	b000016915	b000016745	b000017098	b000016935	b000016900	b000016846	b000016715	b000016820
107_Dog_2	Dog	8738	308	46	26636	0	1128	0	0	0	1545	11563	9	4	5	4266	1	9	1694	23222	0	2	1	0	1	0	0	22	14	4	0	2190	4	4	1	1	0	22	0	17	34	5904	0	4	12	2	0	628	4	2	2	0	0	0	0	9	1	0	1	0	0	0	1	0	2	0	10	0	32	0	10	0	6	0	0	7	0	0	1	5	3	5	1	2	0	27355	9	4	64	1	0	1	0	2	0	2	81	5	0	0	3	7	0	2	1	0	14	1	0	0	3	3	0	10	3	0	14	21	1282	0	0	0	0	4	4508	1	0	0	1	4	5	7	1	6	0	4	2	3	1	2	10	0	4	6	1	3	0	1	0	3	0	0	0	1	0	0	0	0	0	1	3	0	0	55	0	7	0	0	0	0	0	2	0	0	2	3	0	0	3	0	1	0	3	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	1	4	2	3	0	2	0	0	0	0	3	0	4	1	0	3	1	7	0	353	2	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1516	0	0	4	0	0	0	0	0	4	28	3	3	0	0	15	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	4	2	0	0	5	1	2	0	0	0	0	0	0	0	0	0	2185	3	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	807	0	1	0	0	0	0	0	1	0	0	2	4	0	2	0	0	0	0	11	0	3	0	0	13	0	0	0	16	1	0	0	1	0	0	0	2	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	3	0	0	5	0	0	1	0	0	24	0	1	0	0	0	0	0	1	1	0	2	0	1	0	5	0	0	1	0	0	2	0	1	0	0	0	0	1	10	0	0	8	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	2	0	1	0	0	0	10	0	0	1	6	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	6	0	10	0	0	1	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	6	0	0	1	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	12	0	0	0	0	0	5	0	1	163	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	1	0	0	0	3	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0	1	2	0	0	0	3	3	0	0	0	0	0	2	1	51	0	0	2	0	0	0	3	1	0	5	0	0	0	0	0	0	0	3	1	0	2	5	3	0	6	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	20	0	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	1	0	4	5	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	21	0	0	0	0	0	26	0	0	0	1	0	30	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	3	0	0	30	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	17	0	0	18	0	0	2	0	0	0	0	0	0	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13	0	17	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	7	3	0	0	7	1	0	0	2	0	0	0	1	0	0	0	0	10	0	1	0	0	36	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	3	11	0	12	0	0	0	0	0	0	0	51	0	0	19	0	0	0	0	0	0	0	0	0	0	17	0	0	0	10	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0
108_Dog_3	Dog	32334	2650	2321	53137	0	14830	1	3	1	14104	8734	4144	3	6	21319	2	2	7146	29366	11	12	0	1	15	3	298	28	11	7	0	2501	3	7	1	0	0	28975	0	15	24	4	1	4	0	1	0	48	8	0	0	12	4	0	0	5	0	0	1	0	0	0	7	2	5	1	6	0	46	0	9	0	36	0	0	9	39	0	0	5	1	4	4	0	3	8955	0	3	10510	2	0	2	0	2	1	1	3	4	0	1	5	26	0	1	3	0	17	7	6	0	2	3	1	6	0	6	2310	11	6858	0	0	1	0	4	1427	0	0	0	3772	7	5	6	6	6	1	10	0	1	2	3	0	0	5	3	0	3	3	35	0	2	0	0	0	2	0	0	3	0	0	0	2	1	0	5	0	4	0	0	0	0	0	0	0	0	4	1	0	2	2	0	4	0	10	0	2	27	0	0	0	0	0	0	3	0	2	0	0	0	5	0	0	0	1	0	5	4	0	0	0	0	0	0	0	0	4	0	2	4	0	14	0	3816	0	1	0	1	0	0	1	0	2	0	1	1	0	0	1	0	0	0	0	0	4	0	0	0	3	0	0	0	0	5	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	5	1	0	0	0	0	1	12	1	496	0	0	2	0	1	0	0	1	0	0	2	7	32	0	0	0	0	16	2	0	0	0	0	0	0	697	0	0	0	0	0	1	1	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	2667	1	0	0	0	0	0	53	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	2	0	1324	0	3	0	3	5	0	12	1	0	0	0	1	0	3	0	0	4	3	12	0	5	0	0	3	0	0	0	49	1	0	0	2	1	1	0	3	0	0	27	8	4	0	2	0	0	0	0	1	0	0	0	0	2	43	10	1	0	3	0	4	0	0	0	86	0	0	2	0	0	0	0	2	2	0	0	0	4	0	7	0	0	1	1	0	375	3	0	1	0	0	1	0	29	0	0	7	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	2	0	0	49	0	0	0	87	0	2	4	5	0	0	2	28	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	9	0	30	0	0	0	3	1	1	0	1	0	0	0	0	3	1	5	1	0	1	0	1	0	12	0	6	0	0	0	0	0	1	0	0	0	0	7	0	0	5	0	0	1	3	4	2	0	0	0	0	0	5	8	3	0	0	0	0	1	4	0	0	0	0	0	0	9	0	0	0	0	48	0	1	0	0	0	5	0	2	4	0	0	0	4	7	0	0	0	3	0	0	0	0	0	0	5	0	0	0	2	0	0	2	0	0	0	20	2	0	10	1	0	0	0	3	0	0	0	2	0	1	0	0	0	3	0	1	1693	3	0	0	0	15	14	0	0	0	0	0	16	3	113	0	2	0	0	0	0	3	0	0	17	0	1	1	0	0	2	0	0	2	0	1	14	17	0	17	0	0	0	0	0	0	0	0	0	1	0	40	1	1	0	0	3	0	2	1	4	0	0	0	26	1	0	1	0	0	0	21	0	0	0	0	2	0	2	1	0	0	8	12	0	0	0	14	0	0	0	0	10	0	3	0	0	1	0	3	0	0	12	0	0	0	0	1	2	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	15	0	0	0	0	1	0	0	0	0	1	0	0	0	15	3	3	0	0	0	15	2	0	0	2	0	0	0	0	66	1	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	1	1	0	5	0	0	2	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	1	2	1	0	0	0	0	0	0	5	2	3	0	0	6	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	10	1	0	8	7	0	0	0	0	1	0	0	0	2	0	0	1	1	2	1	0	0	0	2	0	0	0	7	4	552	3	1	0	0	0	0	0	36	0	0	7	0	0	39	0	1	2	0	0	41	0	0	4	0	0	0	2	0	0	1	0	0	1	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	9	0	6	0	6	1	0	0	0	0	0	0	1	0	2	47	0	0	0	0	0	0	2	0	0	0	3	19	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	17	0	2	25	0	2	35	0	0	11	0	0	0	0	0	13	4	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	2	6	0	0	0	0	36	0	0	0	0	13	0	0	1	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	2	19	0	1	18	0	0	2	0	0	0	0	0	0	0	0	0	2	0	4	0	26	0	0	0	8	0	0	0	1	0	0	1	30	0	24	0	0	16	0	0	0	461	0	24	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	1	1	2	0	0	2	0	5	5	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	16	13	0	2	0	3	0	0	3	0	1	0	360	0	0	1	0	6	0	3	1	0	59	0	0	0	0	0	10	0	0	0	5	1	0	0	0	0	1	0	1	18	16	1	10	0	0	0	0	0	0	1	39	0	0	32	0	1	0	1	0	1	0	0	1	1	19	0	0	0	22	8	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	1	0	0	0	0	31	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	26	1	0	0	0	0	1	0	0	0	0	4	4	0	0	2	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	0	1	0	0	0	0	19	0	0	0	0	0	0	0	2	0	0	0	1	0	5	0	0	1	8	13	0	0	0	0	0	1	0	0	0	0	0	0	16	1	0	0	0	0	0	19	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	1	1	0	1	0	0	0	1	2	0	1	1
