SequenceID	Type
b000008180	Pig
b000003002	Pig
b000012041	Pig
b000002083	Pig
b000008655	Pig
b000002086	Pig
b000003676	Pig
b000005012	Pig
b000005085	Pig
b000005089	Pig
b000002808	Pig
b000015984	Pig
b000002807	Pig
b000015985	Pig
b000013990	Pig
b000006905	Pig
b000012043	Pig
b000014965	Pig
b000013995	Pig
b000012344	Sewage
b000014412	Sewage
b000007808	Sewage
b000014689	Sewage
b000008996	Sewage
b000010456	Sewage
b000009906	Sewage
b000003957	Sewage
b000004116	Sewage
b000003537	Sewage
b000013006	Sewage
b000003842	Sewage
b000014497	Sewage
b000013868	Sewage
b000003961	Sewage
b000015426	Sewage
b000008997	Sewage
b000011718	Sewage
b000010463	Sewage
b000004966	Sewage
b000015429	Sewage
b000008647	Sewage
b000015360	Sewage
b000014413	Sewage
b000011613	Sewage
b000014318	Sewage
b000010459	Sewage
b000008821	Sewage
b000014319	Sewage
b000008380	Sewage
b000000164	Sewage
b000015427	Sewage
b000016022	Sewage
b000000124	Sewage
b000000151	Sewage
b000015428	Sewage
b000011837	Sewage
b000011437	Sewage
b000009001	Sewage
b000005425	Sewage
b000007149	Sewage
b000010214	Sewage
b000004963	Sewage
b000003543	Sewage
b000008385	Sewage
b000004658	Sewage
b000001444	Sewage
b000004854	Sewage
b000009002	Sewage
b000008994	Sewage
b000015753	Sewage
b000012460	Sewage
b000003955	Sewage
b000016281	Sewage
b000016327	Sewage
b000013445	Sewage
b000014499	Sewage
b000012347	Sewage
b000012465	Sewage
b000013059	Sewage
