SequenceID	Type
c000010275	raccoon
c000002813	raccoon
c000010344	raccoon
c000012932	raccoon
c000013152	raccoon
c000011032	raccoon
c000004236	raccoon
c000014142	raccoon
c000002248	raccoon
c000014034	raccoon
c000010508	raccoon
c000013626	raccoon
c000009824	horse
c000007006	horse
c000007219	horse
c000000073	horse
c000004695	horse
c000012061	horse
c000003320	horse
c000012186	horse
c000007211	horse
c000006997	horse
c000005668	horse
c000004621	horse
c000010612	horse
c000012188	horse
c000009827	horse
c000007015	horse
c000011915	horse
c000010434	horse
c000012402	horse
c000008097	horse
c000007451	horse
c000012389	horse
c000007023	horse
c000012628	horse
c000011454	horse
c000005972	horse
c000005654	horse
c000008120	horse
c000012630	horse
c000011561	horse
c000013866	horse
c000006332	horse
c000003536	horse
c000011566	horse
c000007012	horse
c000010537	horse
c000013069	horse
c000012096	horse
c000001363	horse
c000011914	horse
c000013806	horse
c000002053	horse
c000003223	horse
c000011463	horse
c000012031	horse
c000013810	horse
c000013867	horse
c000013845	horse
c000014265	horse
c000013794	horse
c000003219	pig
c000009469	pig
c000014207	pig
c000012883	pig
c000009277	pig
c000013879	pig
c000012707	pig
c000003694	pig
c000010716	pig
c000008405	pig
c000009148	pig
c000001704	pig
c000009664	pig
c000009446	pig
c000010575	pig
c000001376	pig
c000009447	pig
c000004825	pig
c000010712	pig
c000003706	pig
c000013453	pig
c000007434	pig
c000002049	pig
c000002413	pig
c000012980	pig
c000010435	pig
c000009692	pig
c000001920	pig
c000001044	pig
c000009255	pig
c000010113	pig
c000009981	pig
c000011452	pig
c000011935	pig
c000011196	pig
c000007240	pig
c000009575	pig
c000012240	pig
c000012210	pig
c000009448	pig
c000012063	pig
c000009073	sewage
c000001531	sewage
c000011690	sewage
c000002111	sewage
c000009499	sewage
c000011798	sewage
c000001530	sewage
c000001525	sewage
c000012626	sewage
c000000764	sewage
c000000102	sewage
c000002912	sewage
c000012982	sewage
c000000042	sewage
c000000032	sewage
c000009501	sewage
c000008096	sewage
c000008288	sewage
c000002110	sewage
c000009147	sewage
c000002402	sewage
c000011248	sewage
c000007868	sewage
c000001362	sewage
c000003940	sewage
c000006652	sewage
c000008852	sewage
c000003677	sewage
c000001761	sewage
c000006996	sewage
c000009879	sewage
c000005004	sewage
c000009055	sewage
c000008675	sewage
c000009416	sewage
c000004403	sewage
c000007444	sewage
c000003705	sewage
c000009505	sewage
c000009881	sewage
c000012624	sewage
c000010114	sewage
c000011867	sewage
c000012238	sewage
c000002119	sewage
c000012359	sewage
c000011801	sewage
c000003676	sewage
c000011247	sewage
c000011988	sewage
c000009354	sewage
c000008853	sewage
c000001045	sewage
c000009544	sewage
