SequenceID	Type
b000015206	herbivorous
b000015724	herbivorous
b000016575	herbivorous
b000014981	herbivorous
b000012762	herbivorous
b000017658	raccoon
b000017564	raccoon
b000017662	raccoon
b000017383	raccoon
b000017493	raccoon
b000014270	raccoon
b000005698	raccoon
b000014703	raccoon
b000001131	raccoon
b000000105	raccoon
b000000170	raccoon
b000002543	raccoon
b000015153	raccoon
b000006904	raccoon
b000013590	raccoon
b000010784	raccoon
b000015098	raccoon
b000000169	raccoon
b000005701	raccoon
b000015095	raccoon
b000015094	raccoon
b000000198	raccoon
b000016103	raccoon
b000003810	raccoon
b000004974	raccoon
b000011905	raccoon
b000001496	raccoon
b000005700	raccoon
b000005311	raccoon
b000003816	raccoon
b000017389	raccoon
b000014586	raccoon
b000010266	raccoon
b000017495	raccoon
b000014587	raccoon
b000017451	raccoon
b000004246	horse
b000010444	horse
b000000173	horse
b000000858	horse
b000015629	horse
b000013168	horse
b000011366	horse
b000000091	horse
b000007943	horse
b000000162	horse
b000014455	horse
b000012666	horse
b000005448	horse
b000013274	horse
b000003723	horse
b000001292	horse
b000011991	horse
b000009927	horse
b000007237	horse
b000003298	horse
b000004651	horse
b000001496	horse
b000014501	horse
b000005940	horse
b000015251	horse
b000010572	horse
b000009797	horse
b000014456	horse
b000000260	horse
b000014839	horse
b000005841	horse
b000012675	horse
b000006717	horse
b000006712	horse
b000002404	horse
b000012885	horse
b000012359	horse
b000000868	horse
b000011368	horse
b000015794	horse
b000003461	horse
b000006709	horse
b000004092	horse
b000004972	horse
b000015795	horse
b000012217	horse
b000013275	horse
b000000241	horse
b000000223	horse
b000006732	horse
b000007635	horse
b000000413	horse
b000001293	horse
b000012584	horse
b000012893	horse
b000010906	horse
b000015250	horse
b000004097	horse
b000011662	horse
b000012481	horse
b000013145	horse
b000011136	horse
b000013144	horse
b000016196	pig
b000010786	pig
b000014374	pig
b000000495	pig
b000009923	pig
b000014558	pig
b000000058	pig
b000005840	pig
b000010150	pig
b000010784	pig
b000014375	pig
b000003990	pig
b000015326	pig
b000016719	pig
b000002273	pig
b000000205	pig
b000015965	pig
b000000174	pig
b000010785	pig
b000002810	pig
b000002403	pig
b000014148	pig
b000016546	pig
b000004884	pig
b000001652	pig
b000010783	pig
b000007155	pig
b000007034	pig
b000010790	pig
b000012218	pig
b000002257	pig
b000007152	pig
b000010698	pig
b000003728	pig
b000014349	pig
b000014149	pig
b000014560	pig
b000015966	pig
b000014346	pig
b000016718	pig
b000016427	sewage
b000014102	sewage
b000001900	sewage
b000000170	sewage
b000014704	sewage
b000016378	sewage
b000012152	sewage
b000012157	sewage
b000015026	sewage
b000013589	sewage
b000013892	sewage
b000012353	sewage
b000013590	sewage
b000004729	sewage
b000016040	sewage
b000015098	sewage
b000000109	sewage
b000005701	sewage
b000004728	sewage
b000014041	sewage
b000015095	sewage
b000005295	sewage
b000015094	sewage
b000015096	sewage
b000011112	sewage
b000016103	sewage
b000014107	sewage
b000000215	sewage
b000015029	sewage
b000003125	sewage
b000010045	sewage
b000005502	sewage
b000003470	sewage
b000007495	sewage
b000000135	sewage
b000016109	sewage
b000016113	sewage
b000016236	sewage
b000017623	sewage
b000016431	sewage
b000002986	sewage
b000002984	sewage
b000002144	sewage
b000002292	sewage
b000017664	sewage
b000006330	sewage
b000014043	sewage
b000005503	sewage
b000013644	sewage
b000011248	sewage
b000001909	sewage
b000013645	sewage
b000016381	sewage
